slug,name,category,status,priority
porters-generic-strategies,Porter’s Generic Strategies,Competitive & Business-Level Strategy,raw,high
treacy-wiersema-value-disciplines,Treacy & Wiersema Value Disciplines,Competitive & Business-Level Strategy,raw,high
bowmans-strategy-clock,Bowman’s Strategy Clock,Competitive & Business-Level Strategy,raw,high
porters-value-chain,Porter’s Value Chain,Competitive & Business-Level Strategy,raw,high
experience-curve,Experience Curve,Competitive & Business-Level Strategy,raw,high
relative-cost-positioning-framework,Relative Cost Positioning Framework,Competitive & Business-Level Strategy,raw,high
key-success-factors-analysis,Key Success Factors Analysis,Competitive & Business-Level Strategy,raw,high
strategic-group-mapping,Strategic Group Mapping,Competitive & Business-Level Strategy,raw,high
